"項次,N,10,0","年度,N,10,0","名稱,C,254","縣市,C,254","鄉鎮,C,254","村里,C,254","地標,C,254","誘因,C,254","壩體X_TW,N,10,0","壩體Y_TW,N,10,0","崩塌X_TW,N,10,0","崩塌Y_TW,N,10,0","事件,C,254","形成時間,C,254","持續時間(日),C,254","蓄水量(萬立方公尺),N,19,11",潰決時間,潰決原因,"存續狀態,C,254",坐落區位
33,2009,荖濃溪支流濁口溪堰塞湖,高雄市,茂林區,茂林里,,颱風,214551,2531635,214525,2531801,莫拉克颱風,2009/8/8,11,0.00,,,消失,河川
34,2009,荖濃溪支流寶來溪上游堰塞湖,高雄市,桃源區,寶山里,神池營地; 荖濃溪第97林班,颱風,235644,2561698,235367,2562127,莫拉克颱風,,,0.00,,,消失,林班地
35,2009,荖濃溪復興部落堰塞湖,高雄市,桃源區,復興里,復興部落,颱風,229852,2568408,229844,2568510,莫拉克颱風,,,0.00,,,消失,山坡地
36,2009,陶賽溪,花蓮縣,秀林鄉,富世村,太魯閣梅園竹村步道2.9公里處溪谷; 立霧溪第46林班,崩塌,299061,2680808,298820,2680597,,2009/12/31,2,20.00,,,消失,林班地
37,2009,後堀溪,臺南市,南化區,闢山里,平坑產業道路鎮安宮,颱風,210854,2565272,212902,2564752,莫拉克颱風,2009/8/8,9,0.00,,,消失,林班地
38,2009,旗山溪小林村堰塞湖,高雄市,甲仙區,小林里,小林村; (旗山第21林班),颱風,213654,2562885,215661,2562658,莫拉克颱風,2009/8/9,1.5HR,"1,000.00",,,消失,林班地
39,2009,旗山溪上游堰塞湖(那瑪夏鄉),高雄市,那瑪夏區,達卡努瓦里,那瑪夏民生村上游七公里處;(那瑪夏鄉；旗山第16林班),颱風,223987,2579838,226159,2578013,莫拉克颱風,2009/8/8,730,157.00,,,消失,林班地
40,2011,新竹五峰,新竹縣,五峰鄉,桃山村,,崩塌,261293,2720608,261435,2720653,,2011/11/24,1,0.00,,,消失,河川
41,2012,布唐布那斯溪,高雄市,桃源區,桃源里,,降雨,228607,2565935,225076,2568845,2012年0610豪雨,2012/6/10,,0.00,,,消失,河川
42,2012,和社溪(頭坑野溪流出),南投縣,信義鄉,神木村,頭坑溪，隆華橋上游700公尺,降雨,236984,2607135,239375,2605726,2012年0610豪雨,2012/6/12,,6.00,,,消失,河川
43,2012,眉溪,南投縣,仁愛鄉,南豐村,仁愛鄉省道14號公路74.5k仁愛橋上游處,降雨,261542,2656040,261526,2656141,2012年0610豪雨,2012/6/12,1HR,0.00,,,消失,山坡地
44,2012,旗山溪一溪,高雄市,那瑪夏區,達卡努瓦里,,颱風,222240,2576821,225384,2576554,2012年0610豪雨及泰利颱風,2012/6/21,,0.00,,,消失,山坡地
45,2013,南清水溝溪,南投縣,鹿谷鄉,鳳凰村,鳳凰谷瀑谷上游300公尺,地震,229993,2625332,230084,2625444,2013年0602地震,2013/6/2,,1.00,,,消失,山坡地
46,2013,鹿谷,南投縣,鹿谷鄉,鳳凰村,鳳凰谷瀑谷下游400公尺,地震,229459,2625732,229497,2625842,2013年0602地震,,,0.00,,,消失,山坡地
47,2014,瓦黑爾溪,花蓮縣,秀林鄉,富世村,(立霧溪第54林班),,298340,2676159,298460,2675988,,2014/03/11,135,0.95,,,消失,林班地
48,2014,哈伊拉羅溪,南投縣,信義鄉,東埔村,(巒大第205林班),颱風,256104,2607567,255926,2607987,,,93,6.00,,,消失,林班地
49,2014,郡大溪(丹大溪),南投縣,信義鄉,地利村,(丹大第17林班),,261501,2625847,262043,2626000,,,,13.00,,,消失,林班地
50,2014,鹿野溪桃林,臺東縣,延平鄉,紅葉村,鹿野溪上游北絲鬮溪(延平第35林班),,242605,2532889,242541,2532885,,2014/10/21至26間,,0.00,,,消失,林班地
51,2015,烏來堰塞湖,新北市,烏來區,福山村,烏來第17林班,颱風,302471,2745937,302303,2746023,蘇迪勒颱風,2015/8/14,,0.60,,,消失,林班地
52,2015,塔次基里溪,花蓮縣,秀林鄉,富世村,六十四、七十七林班地交界處,颱風,293372,2673631,293256,2673938,蘇迪勒颱風,2015/8/12,40,11.00,,,消失,林班地
53,2016,立霧溪錐麓,花蓮縣,秀林鄉,富世村,中橫公路臺8線176.3k、立霧溪第20林班,,306048,2674175,306181,2674091,,2016/1/27,175,0.00,,,消失,林班地
54,2016,桃園霞雲溪,桃園市,復興區,霞雲里,,降雨,287731,2744508,287786,2744420,,2016/8/19,,0.27,,,消失,山坡地
55,2016,鹿野溪上游支流(松風溪),臺東縣,延平鄉,紅葉村,(延平第35林班),,241615,2527620,241630,2527531,,,,0.00,,,消失,林班地
56,2016,泰源南溪,臺東縣,東河鄉,尚德村,,颱風,273474,2538238,273536,2538377,尼伯特颱風,2016/7/9,,0.00,,,消失,山坡地
57,2016,萬里溪,花蓮縣,萬榮鄉,萬榮村,(林田山第112林班),地震,288163,2625895,288085,2625896,高雄美濃地震,2016/3/7,133,0.25,,,消失,林班地
58,2017,東埔蚋溪小半天,南投縣,鹿谷鄉,竹豐村,,降雨,224662,2622739,224666,2622690,,2017/6/3,1,0.00,,,消失,山坡地
59,2018,宜蘭石頭溪,宜蘭縣,大同鄉,茂安村,(太平山第30林班),降雨,295356,2718014,295533,2719242,,,,0.00,,,消失,林班地
60,2019,烏牛欄溪,臺中市,豐原區,東陽里,(八仙山第132林班),颱風,226456,2679379,226304,2679240,米塔颱風,2019/8/21,,0.00,,,消失,林班地
61,2021,臺東大南溪,臺東縣,卑南鄉,東興村, (台東第27林班),,245196,2513860,245239,2513774,,2021/2/5,251,170.00,,,消失,林班地
62,2021,桃園大曼溪,桃園市,復興區,華陵里,(大溪第35林班),降雨,290927,2729911,290872,2729949,110年0621豪雨,2021/6/19,,1.50,,,消失,林班地
