,beta_standardized,coef_raw_scale,mean,std
rain_7d,2.4066875354905815,0.03584177519291969,51.23451661215515,67.14755400748138
rain_30d,-0.8013122002543753,-0.004287918499608312,218.2831638668706,186.87673292474489
formed_by_rain,0.44173360560185926,0.8962255211119667,0.5840662712211087,0.4928821989512089
rain_3d,-0.34338881013231726,-0.009245420542333044,21.96763848359912,37.14150249412717
formed_by_quake,0.34209259922340873,0.7759403879983273,0.2641412075345395,0.44087484620551315
volume,-0.25468555862600134,-0.327464903294034,0.28786496820320195,0.7777491757561471
rain_1d,0.12950138223828134,0.007929487298660217,7.3224533948577095,16.33162112008959
(intercept),-1.636442774580339,-3.0259088850754257,,
